Array Length,Merge Sort Avg,Quicksort Avg,Counting Sort Avg,Radix Sort Avg,QR Sort Avg
890000,87.30941,59.81171,11.59642,26.07183,15.64
900000,88.19733,60.79644,12.00923,26.83454,15.87489
910000,88.87155,61.36637,12.80886,28.19513,15.88826
920000,89.92376,61.95422,12.42014,27.78747,16.94681
930000,91.21569,62.38775,12.86563,28.40006,17.37311
940000,92.4418,63.4158,13.16205,29.32846,19.32395
950000,93.53058,63.9645,13.23305,29.99714,18.21282
960000,96.44782,65.11414,15.17985,33.37568,21.26165
970000,97.54553,66.61252,15.24689,33.58402,21.97162
980000,102.83025,68.10874,19.5043,37.76941,24.84822
990000,100.10004,67.84975,14.73125,33.49086,21.52816
1000000,99.38336,68.04595,16.06753,24.52029,18.41573
