Array Length,Merge Sort Avg,Quicksort Avg,Counting Sort Avg,Radix Sort Avg,QR Sort Avg
10000,0.98565,0.97335,0.32956,0.65669,0.49041
20000,1.9151,1.12943,0.31418,0.46271,0.55663
30000,2.76278,1.51235,0.17249,0.64937,0.37761
40000,3.09221,1.90716,0.13203,0.48698,0.32796
50000,3.86396,2.5826,0.18478,0.64034,0.40448
60000,5.49758,3.76753,0.19636,0.73103,0.45576
70000,5.48456,4.0159,0.32217,0.94236,0.65558
80000,6.36836,4.52418,0.37306,1.04391,0.73047
90000,7.69246,5.12666,0.32813,1.20932,0.76485
100000,8.04945,5.80001,0.28838,1.2214,0.68167
110000,8.13329,6.88016,0.31363,1.23471,0.70615
120000,8.90007,7.23212,0.31811,1.25204,0.75908
130000,9.62969,8.07595,0.35441,1.35169,0.84415
140000,10.65033,9.18403,0.38635,1.5608,1.0403
150000,13.32964,10.47399,0.48524,1.98611,1.29537
160000,12.62845,13.76908,0.50833,2.12099,1.14505
170000,13.04131,11.74289,0.47497,1.82922,1.11499
180000,13.28123,12.54935,0.47811,2.07547,1.09755
190000,14.18822,13.36417,0.52588,2.06016,1.2137
200000,14.87203,14.67407,0.55011,2.08343,1.26657
210000,15.76181,15.43214,0.60637,2.22501,1.46539
220000,16.48702,16.52019,0.60912,2.36988,1.35959
230000,17.35512,17.66048,0.60648,2.44199,1.50198
240000,17.61396,18.13528,0.63475,2.44517,1.48549
250000,18.71835,19.38431,0.66252,2.59935,1.74339
260000,19.19407,20.46281,0.69418,2.72877,1.59198
270000,20.70477,22.15772,0.90976,3.19475,2.28678
280000,21.82917,24.0719,0.78805,3.03056,1.81725
290000,22.54104,25.11494,0.94382,3.13398,1.84177
300000,22.64223,25.50391,0.88859,3.17257,1.90464
310000,24.95163,29.06838,0.87119,3.40739,1.96905
320000,25.45654,31.15266,1.05212,3.96358,2.6131
330000,26.54192,30.17198,1.07574,4.04431,2.21241
340000,26.23331,31.16783,1.00284,3.75191,2.27545
350000,27.36951,32.62129,0.93401,3.79543,2.307
360000,27.5565,37.35407,1.0621,3.98325,2.3805
370000,28.13785,35.29108,1.03364,3.93377,2.51288
380000,29.94883,36.41982,1.0628,4.11256,2.55688
390000,29.97357,37.90565,1.05313,4.15574,2.49717
400000,30.83269,39.09909,1.11646,4.33525,2.57228
410000,32.20444,41.86825,1.21572,4.57585,2.90829
420000,32.465,42.61463,1.15206,4.5425,2.7461
430000,33.14485,44.07682,1.20823,4.68271,2.79296
440000,35.42494,46.57857,1.27004,5.02268,3.38565
450000,34.93064,46.95466,1.27609,4.8694,3.02387
460000,35.25928,48.45715,1.26982,4.86138,3.10068
470000,36.5045,50.65207,1.28148,5.0651,3.18876
480000,37.19502,51.7306,1.32171,5.25804,3.12791
490000,37.75481,54.01913,1.34373,5.38036,3.60126
500000,39.01833,55.56871,1.48807,5.76662,3.35386
510000,39.50926,56.66611,1.49758,5.42038,3.28808
520000,40.00981,58.79325,1.43972,5.62033,3.36514
