Array Length,Merge Sort Avg,Quicksort Avg,Counting Sort Avg,Radix Sort Avg,QR Sort Avg
510000,34.70119,354.2988,1.16387,5.04248,3.2256
520000,35.3857,367.70014,1.19841,5.17051,3.35198
530000,36.10515,383.17868,1.21215,5.24652,3.28685
540000,36.84393,397.27593,1.21826,5.63094,3.29213
550000,37.29567,414.11429,1.25742,5.53141,3.41367
560000,38.07627,424.94863,1.29875,5.71779,3.46964
570000,38.99837,441.70895,1.30233,5.8142,3.54289
580000,39.7631,456.27777,1.31037,5.92788,3.6637
590000,39.94233,471.9223,1.33888,6.0026,3.67047
600000,40.96191,488.86161,1.36113,6.09695,3.76897
610000,41.58235,503.34531,1.39048,6.16616,3.7988
620000,41.9611,518.18565,1.4095,6.31727,3.85685
630000,42.75648,535.6001,1.43357,6.54732,3.96435
640000,43.66999,553.739,1.46475,6.53204,3.97201
650000,44.01918,568.37102,1.47068,6.67942,4.07166
660000,45.32986,605.60054,1.56824,6.76197,4.25582
670000,46.5074,620.71151,1.69524,7.06299,4.24347
680000,46.75783,634.51251,1.65773,7.16947,4.51555
690000,47.61468,653.82336,1.73053,7.19338,4.54358
700000,48.38802,668.84701,1.61962,7.31624,4.4724
710000,48.91441,690.27159,1.60495,7.52945,4.5204
720000,49.37542,707.64108,1.68194,7.61401,4.63996
730000,50.19124,727.07143,1.68015,7.8502,4.55869
740000,51.29238,748.11798,1.76407,7.72236,4.94571
750000,51.32498,771.10637,1.73305,7.88189,4.93299
760000,52.15328,788.19902,1.81476,8.05559,4.99702
770000,52.98733,808.35865,1.80096,8.19219,4.9581
780000,53.27751,829.0474,2.07647,8.24969,5.02852
790000,54.09608,849.91496,1.90065,8.31501,5.18955
800000,55.28759,873.42772,1.94626,8.30691,5.31209
810000,56.03923,918.09891,2.07328,8.56186,5.3228
820000,58.86075,953.32048,4.3096,9.51092,5.83825
830000,57.59943,948.16504,2.10183,8.7612,5.43732
840000,58.58698,960.13082,2.10384,8.86723,5.66223
850000,59.29576,991.03476,2.1079,8.9142,5.72698
860000,60.56282,1025.43624,2.38913,9.46217,5.74824
870000,60.74727,1047.35849,2.16837,9.16148,5.77624
880000,61.69826,1074.15583,2.37144,9.76214,6.20023
890000,62.97913,1122.02044,2.65847,10.68502,6.51663
900000,62.86733,1110.55024,2.2938,9.8608,5.98951
910000,63.33487,1134.35142,2.23125,9.84049,6.06457
920000,63.21147,1151.66995,2.29217,9.90875,6.06459
930000,64.16345,1177.82668,2.50805,9.79287,6.198
940000,64.91379,1203.81742,2.2789,10.04271,6.17149
950000,65.54047,1228.04351,2.35786,10.13746,6.33103
960000,66.61719,1248.87009,2.41746,10.38689,6.37767
970000,67.53185,1277.91799,2.54088,10.34087,6.34843
980000,68.21025,1308.10775,2.53846,10.40573,6.48469
990000,69.3754,1327.56974,2.52256,10.52617,6.63211
1000000,69.85954,1355.90803,2.42851,10.79008,6.52677
