Array Length,Merge Sort Avg,Quicksort Avg,Counting Sort Avg,Radix Sort Avg,QR Sort Avg
10000,0.93975,0.88337,0.43695,0.77835,0.53273
20000,1.65691,1.41371,0.19435,0.35657,0.43208
30000,2.12094,2.48199,0.09745,0.50364,0.25107
40000,2.68513,3.54144,0.13421,0.46579,0.28737
50000,3.38315,4.93237,0.15372,0.58902,0.36841
60000,4.63752,8.22982,0.16704,0.71686,0.49755
70000,4.87554,9.50876,0.26197,0.88331,0.59458
80000,5.41583,11.11063,0.27946,1.08064,0.7322
90000,5.93561,13.44368,0.2984,1.19699,0.70299
100000,6.52628,16.17846,0.23005,1.02702,0.61229
110000,7.29366,19.23578,0.24648,1.11379,0.65971
120000,7.91334,22.50163,0.28035,1.23514,0.90067
130000,8.50542,26.05802,0.28951,1.30413,0.82965
140000,9.17191,29.88561,0.46193,1.36513,0.87568
150000,9.90666,34.2796,0.33021,1.50759,0.93649
160000,10.52457,38.70658,0.36609,1.61117,1.09823
170000,11.24575,43.49444,0.39235,1.68366,1.03669
180000,12.79101,48.95691,0.41802,1.88228,1.16126
190000,12.47777,53.28712,0.42196,1.88437,1.1842
200000,13.29937,59.43015,0.4493,2.04533,1.38868
210000,14.09131,67.05314,0.47054,2.1474,1.28207
220000,14.51532,71.41308,0.53236,2.18332,1.36789
230000,14.99582,76.48986,0.52096,2.263,1.44349
240000,15.98137,83.12646,0.53701,2.46019,1.62887
250000,16.63689,90.35605,0.56479,2.58482,1.72259
260000,17.1449,96.9186,0.59186,2.59718,1.61884
270000,18.08534,104.41203,0.75989,3.008,2.1368
280000,18.99744,113.93324,0.63712,2.88438,1.81957
290000,19.47552,120.47894,0.73089,2.96255,1.81127
300000,23.43052,148.02936,0.8464,3.54574,2.32199
310000,22.32919,137.9447,0.70478,3.14859,2.05795
320000,21.9315,147.10391,0.81613,3.23607,2.14781
330000,22.45788,156.48253,0.79755,3.42365,2.14744
340000,23.35234,164.76637,0.85592,3.50211,2.23304
350000,23.99379,173.11086,0.8006,3.4891,2.29416
360000,24.3308,182.13541,0.82917,3.71191,2.27572
370000,26.72401,198.20782,0.90547,3.91515,2.69793
380000,25.91901,213.97236,0.90602,3.85515,2.68765
390000,26.38333,210.92257,0.89267,3.92449,2.49429
400000,27.58789,220.85233,0.89891,4.02681,2.55004
410000,27.89707,231.52804,0.93463,4.07027,2.61438
420000,28.39977,241.5037,0.95824,4.16188,2.61279
430000,29.02573,252.73081,0.97648,4.27203,2.71904
440000,29.93546,265.85064,1.02202,4.35142,2.80095
450000,30.56411,277.09999,1.04061,4.4674,2.81369
460000,31.0097,291.36703,1.05607,4.56592,2.96913
470000,31.93042,302.13593,1.0836,4.65051,2.97972
480000,32.45189,313.18292,1.08563,4.74874,2.99831
490000,32.94559,327.96583,1.11333,4.86828,3.12569
500000,33.89199,340.92578,1.1452,4.97812,3.17578
