Array Length,Merge Sort Avg,Quicksort Avg,Counting Sort Avg,Radix Sort Avg,QR Sort Avg
10000,0.81946,0.78359,95.86483,0.50666,0.43934
20000,1.49147,1.00884,61.54832,0.41449,0.2166
30000,2.25941,1.56856,61.90904,0.61152,0.31967
40000,3.06104,2.16213,62.9778,0.84205,0.44853
50000,3.91335,2.8045,63.48546,1.03316,0.58912
60000,4.79821,3.36316,64.74113,1.2644,0.68757
70000,5.65489,3.94144,66.17579,1.47685,0.80251
80000,6.49338,4.57546,66.42155,1.6945,0.91491
90000,7.36223,5.23934,67.39618,1.99058,1.01441
100000,8.42008,5.73249,72.93237,2.11867,1.12898
110000,9.49213,6.38502,76.30881,2.33612,1.28398
120000,10.23687,7.04124,75.09298,2.5626,1.38187
130000,11.08587,7.76237,72.48999,2.75829,1.52225
140000,11.89298,8.44738,74.92502,3.04705,1.64561
150000,12.86993,9.01719,77.45242,3.21181,1.78201
160000,13.6916,9.61406,76.68546,3.52594,1.87358
170000,14.64389,10.30587,77.79517,3.6073,1.96212
180000,15.626,10.91743,77.33783,3.85802,2.11462
190000,16.42146,11.61242,80.61458,4.08638,2.24985
200000,17.50933,12.12294,81.64491,4.27035,2.66331
210000,18.43548,12.87841,79.75665,4.52972,2.46199
220000,19.33733,13.57794,81.22272,4.76466,2.58516
230000,20.10969,14.27812,81.58271,4.94763,2.70849
240000,21.14669,14.86124,83.15966,5.15657,2.83643
250000,22.10997,15.60424,83.98611,5.44311,3.05947
260000,22.96351,16.10818,84.84899,5.60261,3.07445
270000,24.0463,16.94035,89.62627,5.95505,3.15642
280000,25.09162,17.71774,86.31868,6.2886,3.33784
290000,25.8499,18.13548,87.68336,6.41112,3.51099
300000,26.93372,18.83846,89.7222,6.57299,3.61723
310000,27.97153,19.53094,89.57756,6.86133,3.74944
320000,28.81269,20.20955,90.66694,7.17874,3.77011
330000,29.8468,20.8859,91.33886,7.30308,4.02458
340000,31.17984,21.45225,92.38031,7.7212,4.07646
350000,31.91779,22.29752,93.71024,7.91639,4.23742
360000,32.659,23.05101,94.25673,8.13391,4.27577
370000,34.00739,23.57788,95.43203,8.34516,4.43325
380000,36.40142,24.37618,97.21568,9.23894,6.36698
390000,35.92316,24.97559,110.59343,8.60192,4.71374
400000,36.98701,25.70666,101.17237,8.86955,4.90102
410000,38.52061,26.67996,123.03656,10.39621,5.63169
420000,39.22451,27.2997,115.46448,10.19977,5.61934
430000,40.78691,28.01046,108.75956,9.93983,5.26932
440000,41.42546,28.7619,109.39276,9.85899,5.61042
450000,41.97878,29.30479,107.25465,10.05073,5.49789
460000,43.19092,29.9788,118.04293,11.18057,6.05255
470000,44.37602,30.62772,109.59384,10.81419,5.88756
