Array Length,Merge Sort Avg,Quicksort Avg,Counting Sort Avg,Radix Sort Avg,QR Sort Avg
10000,0.93759,0.73645,0.36129,0.57738,0.63713
20000,1.98612,1.25131,0.30357,0.66993,0.57099
30000,2.73756,1.58963,0.12954,0.38003,0.38758
40000,3.56391,2.09316,0.186,0.49746,0.32308
50000,4.21835,2.63664,0.23937,0.79949,0.38852
60000,4.99835,3.3581,0.24392,0.76491,0.44958
70000,6.26018,3.76132,0.37876,1.19334,0.70732
80000,7.02106,4.19534,0.41102,1.12071,0.80887
90000,7.42255,4.54669,0.45708,1.31283,0.78999
100000,8.41697,5.01594,0.39245,1.0717,0.63823
110000,9.35038,5.73539,0.45068,1.2377,0.75622
120000,9.94391,6.08433,0.50441,1.32392,0.76651
130000,10.60242,6.60637,0.52052,1.44445,0.88725
140000,11.72685,7.16586,0.56675,1.52242,0.88753
150000,12.32031,7.6662,0.59411,1.57458,0.95284
160000,13.24324,8.78049,0.63951,1.76348,1.0272
170000,14.33172,8.7967,0.69561,1.87176,1.10514
180000,14.86006,9.33713,0.72995,2.07036,1.18801
190000,15.88055,9.88376,0.79175,2.07419,1.45361
200000,17.96019,10.93807,0.85409,2.65535,1.32293
210000,18.2877,13.52592,0.9564,2.39213,1.35849
220000,18.31513,11.4975,0.90294,2.36407,1.38732
230000,18.94666,12.07152,0.94646,2.51144,1.67829
240000,19.89955,12.49991,0.97966,2.5674,1.54388
250000,20.94985,13.11733,1.02833,2.7917,1.68384
260000,21.54003,13.77743,1.07356,2.99255,1.72446
270000,22.70892,14.19035,1.26002,3.189,2.16064
280000,23.61936,14.86036,1.17068,3.00362,1.79347
290000,24.38092,15.33871,1.37357,3.22828,1.92357
300000,25.1937,15.93883,1.34199,3.15366,1.91591
310000,26.24069,16.61718,1.32459,3.31809,2.0549
320000,27.16446,17.12888,1.34164,3.42327,2.20142
330000,27.82732,17.81793,1.37853,3.54655,2.24929
340000,28.94991,18.41315,1.41508,3.76702,2.32336
350000,29.79258,19.07436,1.44555,3.82272,2.41907
360000,30.6907,19.73983,1.51236,3.87663,2.45819
370000,31.61697,20.14213,1.54519,4.07158,2.63322
380000,32.72076,20.97067,1.58548,4.08177,2.68853
390000,33.38768,21.32864,1.68591,4.36969,2.73169
400000,35.05166,22.23583,1.74016,4.62233,2.92758
410000,35.18291,22.80392,1.74492,4.50644,2.77961
420000,36.02698,23.18978,1.79438,4.59115,3.00056
430000,36.8399,23.85829,1.78118,4.77332,2.84947
440000,38.10035,24.60343,1.85712,4.72901,3.05335
450000,39.31179,25.50384,2.08806,5.27716,3.3097
460000,39.51843,26.12477,1.93381,4.96912,3.27042
470000,40.94792,26.88744,2.12149,5.42712,3.36837
