Array Length,Merge Sort Avg,Quicksort Avg,Counting Sort Avg,Radix Sort Avg,QR Sort Avg
10000,1.06048,0.7263,16.08278,0.75581,0.71278
20000,2.01088,1.16932,10.96809,0.55246,0.26897
30000,2.30778,1.61438,12.20707,0.6548,0.35527
40000,3.31944,2.20407,11.27686,0.94187,0.5098
50000,4.3479,3.02492,13.60045,1.27165,0.67966
60000,5.16351,3.45834,12.59734,1.36839,0.72702
70000,5.83307,3.97231,13.60759,1.52241,0.84915
80000,6.63678,4.56112,12.29106,1.71562,0.9016
90000,7.49827,5.2075,12.72923,1.88936,1.02986
100000,8.49345,5.81194,13.18043,2.15516,1.13309
110000,9.49286,6.43108,14.70687,2.49563,1.27045
120000,10.3915,7.0905,14.08924,2.56148,1.41291
130000,11.45853,7.69374,14.81849,2.8511,1.55347
140000,12.11455,8.35886,15.77027,3.01854,1.62396
150000,13.2297,9.02848,17.48717,3.26573,1.77328
160000,13.94735,9.63666,17.98367,3.63846,1.91512
170000,14.87855,10.2836,18.14244,3.71645,2.00256
180000,15.75827,10.99759,18.70615,3.89523,2.10537
190000,16.64732,11.54628,21.91102,4.35167,2.19497
200000,18.08681,12.37313,21.99353,4.52873,2.32534
210000,18.70041,12.87926,22.48537,4.52776,2.4619
220000,19.83701,13.50955,23.65369,4.72212,2.5386
230000,20.4217,14.13058,24.31657,4.98581,2.70377
240000,21.79773,15.31084,25.47441,5.37991,3.16512
250000,22.47463,15.53732,25.24641,5.50426,3.01035
260000,23.35035,16.19165,25.50775,5.66269,3.07718
270000,24.55234,16.95377,26.16232,5.92152,3.14446
280000,25.5192,17.66088,28.11145,6.01505,3.25269
290000,26.40041,18.35957,27.43508,6.3483,3.50496
300000,27.41427,19.00917,28.29632,6.58824,3.56403
310000,28.42574,19.64999,28.90429,6.87172,3.70821
320000,29.36863,20.35655,30.33177,6.97434,3.95273
330000,30.3895,20.91779,30.60446,7.286,3.97945
340000,32.07185,21.76652,32.86345,8.37261,4.01254
350000,33.55655,22.86384,38.94148,8.97512,4.2913
360000,33.42691,22.98723,33.59307,8.0212,4.2912
370000,34.70605,23.8962,37.8073,8.32537,4.41731
380000,35.68439,24.3517,36.76156,8.48812,4.71626
390000,36.49533,25.06226,36.11459,9.18749,5.02974
400000,37.65076,25.6412,36.15704,8.6498,5.03474
410000,39.14154,26.5759,37.5701,9.1247,4.97393
420000,39.75649,27.05422,38.26238,9.59503,5.08343
430000,41.09868,27.96207,39.88129,9.62713,5.35564
440000,41.59762,28.55221,39.88422,10.087,5.31789
450000,43.87998,29.44341,46.64016,11.92585,6.59277
460000,42.95964,29.71402,40.60689,10.2592,5.45959
470000,44.47855,30.59272,41.74022,10.45165,5.61653
480000,45.20925,31.11247,42.19511,10.54841,5.94468
490000,45.89745,31.66789,42.74988,10.79339,5.9413
500000,46.99921,32.2677,42.81463,11.06734,5.95845
510000,48.13667,32.84921,44.29983,11.27122,6.12695
520000,48.94059,33.65143,44.65812,11.54481,6.31764
530000,50.13937,34.37943,46.53777,12.64033,6.3901
540000,51.03937,34.90891,45.81517,11.86752,6.5272
550000,51.86298,35.52583,46.08508,12.31911,6.52157
560000,52.8717,36.58379,47.30399,12.59501,6.77082
570000,54.22228,36.96506,48.68252,12.63655,7.10582
580000,55.06099,38.05731,48.80409,12.9208,7.12024
590000,55.70259,38.46185,49.77724,13.11441,7.11786
600000,56.99136,39.28737,50.6596,13.31881,7.48417
610000,58.01625,40.14274,51.187,13.69466,7.68221
620000,58.65214,40.57704,52.42586,14.03058,7.62506
630000,59.5464,40.99529,52.95888,14.04006,7.96144
640000,60.91598,41.90537,53.99435,14.62204,8.02473
650000,61.49238,42.67773,54.63224,14.73832,8.08356
660000,63.04078,43.54422,55.46339,14.93578,8.29602
670000,63.86169,43.87302,56.79288,15.2218,8.63816
680000,64.70003,44.77659,57.3707,15.51871,8.739
690000,65.9821,45.51988,58.05678,15.98971,8.7961
700000,67.09036,46.40291,59.25687,16.25611,9.29879
710000,67.72687,46.74942,59.66048,16.38204,9.33565
720000,68.664,47.95931,60.55804,16.81869,9.63646
730000,69.60747,48.20681,61.37429,17.2191,10.25552
740000,70.96637,48.9064,62.17907,17.34269,9.94385
750000,76.50967,51.14701,66.25269,20.87564,11.15248
760000,73.86025,51.0441,66.74713,20.23577,11.78577
770000,74.77204,51.61538,66.9825,20.05283,11.45288
780000,75.5047,52.4797,67.71252,19.70081,10.87825
790000,83.25735,53.25483,69.29441,20.3332,11.50676
800000,78.13343,53.83452,69.97253,21.15516,11.95178
810000,79.05835,55.06957,71.14533,20.91631,11.87102
820000,80.2046,55.25376,71.49843,21.78327,11.9279
830000,81.27527,55.92266,72.63888,21.82021,12.41484
840000,82.54446,56.5976,73.50395,22.79153,13.32858
